movie_name,year,runtime,rating,detail_about_movie,director,actor_1,actor_2,votes,metascore,gross_collection,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western
Princess Mononoke,1997,134,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,371611,76.0,2.38,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before 's Nazis can obtain its awesome powers.",Steven Spielberg,Harrison Ford,Karen Allen,927966,85.0,248.16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shining,1980,146,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,Jack Nicholson,Shelley Duvall,961617,66.0,44.02,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apocalypse Now,1979,147,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,Martin Sheen,Marlon Brando,638706,94.0,83.47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Alien,1979,117,8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Ridley Scott,Sigourney Weaver,Tom Skerritt,836215,89.0,78.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
High and Low,1963,143,8.4,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa,Toshirô Mifune,Yutaka Sada,40926,82.44954128440367,32.285,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,Peter Sellers,George C. Scott,472667,97.0,0.28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Witness for the Prosecution,1957,116,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,Tyrone Power,Marlene Dietrich,118882,82.44954128440367,8.18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Paths of Glory,1957,88,8.4,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,Kirk Douglas,Ralph Meeker,189658,90.0,32.285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pather Panchali,1955,125,8.4,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Satyajit Ray,Kanu Bannerjee,Karuna Bannerjee,29836,82.44954128440367,0.54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
